title|gross|opening|theaters|year|genres|imdbid|imdbrating|imdburl|metascore|movieid|mpaarating|nvotes
American Splendor|$6,010,990|$159,705|272|2003|Biography,Comedy,Drama|0305206|7.5|http://akas.imdb.com/title/tt0305206/|90|0305206|R|41698
Luther|$5,791,328|$908,446|400|2003|Biography,Drama,History|0309820|6.6|http://akas.imdb.com/title/tt0309820/|47|0309820|PG-13|12696
The Station Agent|$5,739,376|$57,785|198|2003|Comedy,Drama|0340377|7.7|http://akas.imdb.com/title/tt0340377/|81|0340377|R|57651
The Human Stain|$5,381,908|$1,034,195|388|2003|Drama,Romance,Thriller|0308383|6.3|http://akas.imdb.com/title/tt0308383/|57|0308383|R|25352
Grind|$5,123,696|$2,511,403|2,253|2003|Adventure,Comedy,Sport|0338077|6.0|http://akas.imdb.com/title/tt0338077/|30|0338077|PG-13|10276
Les Invasions Barbares|$5,109,226|$461,363|134|2003|Comedy,Crime,Drama,Mystery,Romance|0338135|7.7|http://akas.imdb.com/title/tt0338135/|70|0338135|R|24783
From Justin to Kelly|$4,928,883|$2,715,848|2,001|2003|Comedy,Musical,Romance|0339034|2.1|http://akas.imdb.com/title/tt0339034/|14|0339034|PG|23548
In the Cut|$4,750,602|$97,625|825|2003|Mystery,Thriller|0199626|5.3|http://akas.imdb.com/title/tt0199626/|46|0199626|R|18523
Thirteen|$4,601,043|$116,260|243|2003|Biography,Drama|0328538|6.8|http://akas.imdb.com/title/tt0328538/|70|0328538|R|67498
Beyond Borders|$4,430,101|$2,076,402|1,798|2003|Adventure,Drama,Romance,War|0294357|6.5|http://akas.imdb.com/title/tt0294357/|32|0294357|R|22348
The Fog of War|$4,198,566|$41,449|261|2003|Documentary,Biography,History,War|0317910|8.2|http://akas.imdb.com/title/tt0317910/|87|0317910|PG-13|19151
The Gospel of John|$4,069,090|$98,363|113|2003|Biography,Drama,History|0377992|7.7|http://akas.imdb.com/title/tt0377992/|52|0377992|PG-13|2148
The Real Cancun|$3,825,421|$2,108,796|2,261|2003|Documentary|0360916|2.7|http://akas.imdb.com/title/tt0360916/|34|0360916|R|3603
Step Into Liquid|$3,681,803|$135,985|91|2003|Documentary,Sport|0308508|7.5|http://akas.imdb.com/title/tt0308508/|72|0308508|PG|2314
The Barbarian Invasions|$3,435,749|$79,650|139|2003|Comedy,Crime,Drama,Mystery,Romance|0338135|7.7|http://akas.imdb.com/title/tt0338135/|70|0338135|R|24783
Anything Else|$3,212,310|$1,673,125|1,033|2003|Comedy,Romance|0313792|6.4|http://akas.imdb.com/title/tt0313792/|43|0313792|R|24911
Mambo Italiano|$3,205,730|$734,570|183|2003|Comedy,Drama|0330602|6.8|http://akas.imdb.com/title/tt0330602/|41|0330602|R|5474
Capturing the Friedmans|$3,119,113|$65,154|78|2003|Documentary,Biography|0342172|7.8|http://akas.imdb.com/title/tt0342172/|90|0342172|NA|18770
