title|gross|opening|theaters|year|genres|imdbid|imdbrating|imdburl|metascore|movieid|mpaarating|nvotes
How the Grinch Stole Christmas|$260,044,825|$55,082,330|3,256|2000|Comedy,Family,Fantasy|0170016|6.0|http://akas.imdb.com/title/tt0170016/|46|0170016|PG|140082
Cast Away|$233,632,142|$28,883,406|3,061|2000|Adventure,Drama,Romance|0162222|7.7|http://akas.imdb.com/title/tt0162222/|73|0162222|PG-13|388739
Mission: Impossible II|$215,409,889|$57,845,297|3,669|2000|Action,Adventure,Thriller|0120755|6.1|http://akas.imdb.com/title/tt0120755/|59|0120755|PG-13|238508
Gladiator|$187,705,427|$34,819,017|3,188|2000|Action,Drama|0172495|8.5|http://akas.imdb.com/title/tt0172495/|64|0172495|R|967021
What Women Want|$182,811,707|$33,614,543|3,092|2000|Comedy,Fantasy,Romance|0207201|6.4|http://akas.imdb.com/title/tt0207201/|47|0207201|PG-13|157326
The Perfect Storm|$182,618,434|$41,325,042|3,407|2000|Action,Adventure,Drama,Thriller|0177971|6.4|http://akas.imdb.com/title/tt0177971/|59|0177971|PG-13|131991
Meet the Parents|$166,244,045|$28,623,300|2,697|2000|Comedy|0212338|7.0|http://akas.imdb.com/title/tt0212338/|73|0212338|PG-13|257854
X-Men|$157,299,717|$54,471,475|3,112|2000|Action,Adventure,Sci-Fi|0120903|7.4|http://akas.imdb.com/title/tt0120903/|64|0120903|PG-13|445386
Scary Movie|$157,019,771|$42,346,669|3,301|2000|Comedy|0175142|6.2|http://akas.imdb.com/title/tt0175142/|48|0175142|R|185227
What Lies Beneath|$155,464,351|$29,702,959|2,925|2000|Drama,Fantasy,Horror,Mystery,Thriller|0161081|6.6|http://akas.imdb.com/title/tt0161081/|51|0161081|PG-13|97668
Dinosaur|$137,748,063|$38,854,851|3,319|2000|Animation,Adventure,Family,Thriller|0130623|6.4|http://akas.imdb.com/title/tt0130623/|56|0130623|PG|37874
Crouching Tiger, Hidden Dragon|$128,078,872|$663,205|2,027|2000|Action,Drama,Romance|0190332|7.9|http://akas.imdb.com/title/tt0190332/|93|0190332|PG-13|216040
Erin Brockovich|$125,595,205|$28,138,465|3,070|2000|Biography,Drama|0195685|7.3|http://akas.imdb.com/title/tt0195685/|73|0195685|R|133600
Charlie's Angels|$125,305,545|$40,128,550|3,037|2000|Action,Adventure,Comedy,Crime,Thriller|0160127|5.5|http://akas.imdb.com/title/tt0160127/|52|0160127|PG-13|144099
Traffic|$124,115,725|$184,725|1,755|2000|Crime,Drama,Thriller|0181865|7.6|http://akas.imdb.com/title/tt0181865/|86|0181865|R|169357
The Nutty Professor II: The Klumps|$123,309,890|$42,518,830|3,251|2000|Comedy,Romance,Sci-Fi|0144528|4.3|http://akas.imdb.com/title/tt0144528/|38|0144528|PG-13|39013
Big Momma's House|$117,559,438|$25,661,041|2,854|2000|Action,Comedy,Crime|0208003|5.1|http://akas.imdb.com/title/tt0208003/|33|0208003|PG-13|66158
Remember the Titans|$115,654,751|$20,905,831|2,803|2000|Biography,Drama,Sport|0210945|7.8|http://akas.imdb.com/title/tt0210945/|48|0210945|PG|158941
The Patriot|$113,330,342|$22,413,710|3,061|2000|Action,Drama,History,War|0187393|7.1|http://akas.imdb.com/title/tt0187393/|63|0187393|R|205446
Chicken Run|$106,834,564|$17,506,162|2,953|2000|Animation,Adventure,Comedy,Drama,Family|0120630|7.0|http://akas.imdb.com/title/tt0120630/|88|0120630|NA|138789
Miss Congeniality|$106,807,667|$10,046,534|2,668|2000|Action,Comedy,Crime,Romance|0212346|6.1|http://akas.imdb.com/title/tt0212346/|43|0212346|PG-13|134898
Gone in 60 Seconds|$101,648,571|$25,336,048|3,089|2000|Action,Crime,Thriller|0187078|6.5|http://akas.imdb.com/title/tt0187078/|35|0187078|PG-13|216271
Unbreakable|$95,011,339|$30,330,771|2,708|2000|Drama,Mystery,Sci-Fi,Thriller|0217869|7.2|http://akas.imdb.com/title/tt0217869/|62|0217869|PG-13|242891
Me, Myself and Irene|$90,570,999|$24,209,385|3,087|2000|Comedy|0183505|6.5|http://akas.imdb.com/title/tt0183505/|49|0183505|R|183963
Space Cowboys|$90,464,773|$18,093,776|2,835|2000|Action,Adventure,Thriller|0186566|6.4|http://akas.imdb.com/title/tt0186566/|73|0186566|PG-13|59590
The Emperor's New Groove|$89,302,687|$9,812,302|2,887|2000|Animation,Adventure,Comedy,Family,Fantasy|0120917|7.3|http://akas.imdb.com/title/tt0120917/|70|0120917|NA|125688
Scream 3|$89,143,175|$34,713,342|3,467|2000|Horror,Mystery|0134084|5.5|http://akas.imdb.com/title/tt0134084/|56|0134084|R|97321
U-571|$77,122,415|$19,553,310|2,820|2000|Action,War|0141926|6.6|http://akas.imdb.com/title/tt0141926/|62|0141926|PG-13|64857
Rugrats in Paris: The Movie|$76,507,756|$22,718,184|2,937|2000|Animation,Adventure,Comedy,Family,Romance|0213203|6.1|http://akas.imdb.com/title/tt0213203/|62|0213203|NA|7990
The Family Man|$75,793,305|$10,554,960|2,441|2000|Comedy,Drama,Fantasy,Romance|0218967|6.7|http://akas.imdb.com/title/tt0218967/|42|0218967|PG-13|85300
Hollow Man|$73,209,340|$26,414,386|2,956|2000|Horror,Sci-Fi|0164052|5.7|http://akas.imdb.com/title/tt0164052/|24|0164052|R|100802
Chocolat|$71,509,363|$157,624|1,928|2000|Drama,Romance|0241303|7.3|http://akas.imdb.com/title/tt0241303/|64|0241303|PG-13|148945
Shaft|$70,334,258|$21,714,757|2,433|2000|Action,Crime,Thriller|0162650|5.9|http://akas.imdb.com/title/tt0162650/|50|0162650|R|57964
Disney's The Kid|$69,691,949|$12,687,726|2,343|2000|Comedy,Family,Fantasy|0219854|6.1|http://akas.imdb.com/title/tt0219854/|45|0219854|PG|34223
Vertical Limit|$69,243,859|$15,507,845|2,602|2000|Action,Adventure,Drama,Thriller|0190865|5.9|http://akas.imdb.com/title/tt0190865/|48|0190865|PG-13|49146
Road Trip|$68,540,777|$15,484,004|2,654|2000|Comedy|0215129|6.5|http://akas.imdb.com/title/tt0215129/|55|0215129|R|131759
Bring It On|$68,379,000|$17,362,105|2,466|2000|Comedy,Sport|0204946|5.9|http://akas.imdb.com/title/tt0204946/|52|0204946|PG-13|69275
102 Dalmatians|$66,957,026|$19,883,351|2,704|2000|Adventure,Comedy,Family|0211181|4.8|http://akas.imdb.com/title/tt0211181/|35|0211181|NA|26078
Rules of Engagement|$61,335,230|$15,011,181|3,220|2000|Drama,Thriller,War|0160797|6.4|http://akas.imdb.com/title/tt0160797/|45|0160797|R|37280
The Cell|$61,334,059|$17,515,050|2,476|2000|Horror,Sci-Fi,Thriller|0209958|6.3|http://akas.imdb.com/title/tt0209958/|40|0209958|R|79158
Mission to Mars|$60,883,407|$22,855,247|3,101|2000|Adventure,Sci-Fi,Thriller|0183523|5.6|http://akas.imdb.com/title/tt0183523/|34|0183523|PG|59997
Coyote Ugly|$60,786,269|$17,319,282|2,664|2000|Comedy,Drama,Music,Romance|0200550|5.6|http://akas.imdb.com/title/tt0200550/|27|0200550|PG-13|89765
Snow Day|$60,020,107|$14,331,819|2,717|2000|Adventure,Comedy,Family|0184907|4.9|http://akas.imdb.com/title/tt0184907/|34|0184907|PG|9217
Next Friday|$57,328,603|$14,465,156|1,420|2000|Comedy|0195945|6.1|http://akas.imdb.com/title/tt0195945/|41|0195945|R|26949
The Whole Nine Yards|$57,262,492|$13,731,070|2,910|2000|Comedy,Crime|0190138|6.7|http://akas.imdb.com/title/tt0190138/|47|0190138|NA|89608
Shanghai Noon|$56,937,502|$15,607,034|2,751|2000|Action,Adventure,Comedy,Western|0184894|6.6|http://akas.imdb.com/title/tt0184894/|77|0184894|PG-13|95440
Romeo Must Die|$55,973,336|$18,014,503|2,641|2000|Action,Crime,Thriller|0165929|6.1|http://akas.imdb.com/title/tt0165929/|52|0165929|R|56591
Final Destination|$53,331,147|$10,015,822|2,587|2000|Horror|0195714|6.7|http://akas.imdb.com/title/tt0195714/|36|0195714|R|178825
Finding Forrester|$51,804,714|$701,207|2,002|2000|Drama|0181536|7.3|http://akas.imdb.com/title/tt0181536/|62|0181536|PG-13|72540
The Road to El Dorado|$50,863,742|$12,846,652|3,223|2000|Animation,Adventure,Comedy,Family,Romance|0138749|6.9|http://akas.imdb.com/title/tt0138749/|51|0138749|PG|56938
Men of Honor|$48,818,921|$13,339,465|2,188|2000|Biography,Drama|0203019|7.2|http://akas.imdb.com/title/tt0203019/|56|0203019|R|88522
Dude, Where's My Car?|$46,729,800|$13,845,914|2,100|2000|Comedy,Mystery|0242423|5.5|http://akas.imdb.com/title/tt0242423/|30|0242423|PG-13|115742
The Tigger Movie|$45,554,533|$9,427,532|2,818|2000|Animation,Comedy,Drama,Family,Musical|0220099|6.3|http://akas.imdb.com/title/tt0220099/|53|0220099|NA|13149
O Brother, Where Art Thou?|$45,512,588|$195,104|847|2000|Adventure,Comedy,Crime,Music|0190590|7.8|http://akas.imdb.com/title/tt0190590/|69|0190590|PG-13|222528
Frequency|$45,010,278|$9,025,584|2,631|2000|Crime,Drama,Mystery,Sci-Fi,Thriller|0186151|7.3|http://akas.imdb.com/title/tt0186151/|67|0186151|PG-13|80796
The Replacements|$44,737,059|$11,039,214|2,754|2000|Comedy,Sport|0191397|6.5|http://akas.imdb.com/title/tt0191397/|30|0191397|PG-13|47864
Pokemon: The Movie 2000|$43,758,684|$19,575,608|2,752|2000|Animation,Action,Adventure,Family,Fantasy,Sci-Fi|0235679|5.5|http://akas.imdb.com/title/tt0235679/|22|0235679|NA|8744
The Beach|$39,785,027|$15,277,921|2,587|2000|Adventure,Drama,Thriller|0163978|6.6|http://akas.imdb.com/title/tt0163978/|43|0163978|R|173949
Little Nicky|$39,464,775|$16,063,904|2,910|2000|Comedy,Fantasy|0185431|5.3|http://akas.imdb.com/title/tt0185431/|38|0185431|PG-13|79931
Pitch Black|$39,240,659|$11,577,688|1,930|2000|Horror,Sci-Fi|0134847|7.1|http://akas.imdb.com/title/tt0134847/|49|0134847|R|192180
The Original Kings of Comedy|$38,182,790|$11,053,832|1,082|2000|Comedy,Documentary|0236388|6.6|http://akas.imdb.com/title/tt0236388/|76|0236388|R|4664
Bedazzled (2000)|$37,886,980|$13,106,526|2,571|2000|Comedy,Fantasy,Romance|0230030|6.0|http://akas.imdb.com/title/tt0230030/|49|0230030|PG-13|81098
Autumn in New York|$37,761,915|$10,987,006|2,282|2000|Drama,Romance|0174480|5.5|http://akas.imdb.com/title/tt0174480/|24|0174480|PG-13|20008
28 Days|$37,170,488|$10,310,672|2,523|2000|Comedy,Drama|0191754|6.0|http://akas.imdb.com/title/tt0191754/|46|0191754|PG-13|34221
Keeping the Faith|$37,047,880|$8,078,671|2,171|2000|Comedy,Drama,Romance|0171433|6.4|http://akas.imdb.com/title/tt0171433/|60|0171433|PG-13|44568
Bounce|$36,805,288|$11,423,716|2,028|2000|Drama,Romance|0186894|5.7|http://akas.imdb.com/title/tt0186894/|52|0186894|PG-13|17409
Hanging Up|$36,050,230|$13,567,978|2,618|2000|Comedy,Drama|0162983|4.7|http://akas.imdb.com/title/tt0162983/|33|0162983|PG-13|10032
The Flintstones in Viva Rock Vegas|$35,268,275|$10,518,435|3,125|2000|Comedy,Family,Romance,Sci-Fi|0158622|3.6|http://akas.imdb.com/title/tt0158622/|27|0158622|PG|15297
The Skulls|$35,046,120|$11,034,885|2,416|2000|Action,Crime,Drama,Thriller|0192614|5.6|http://akas.imdb.com/title/tt0192614/|24|0192614|PG-13|26657
The 6th Day|$34,604,280|$13,020,883|2,516|2000|Action,Mystery,Sci-Fi,Thriller|0216216|5.9|http://akas.imdb.com/title/tt0216216/|49|0216216|PG-13|99234
Thirteen Days|$34,592,089|$46,668|2,034|2000|Drama,History,Thriller|0146309|7.3|http://akas.imdb.com/title/tt0146309/|67|0146309|PG-13|44908
My Dog Skip|$34,134,641|$56,943|2,331|2000|Drama,Family,Sport|0156812|7.0|http://akas.imdb.com/title/tt0156812/|61|0156812|PG|16510
Where the Heart Is|$33,772,838|$8,292,939|2,439|2000|Comedy,Drama,Romance|0198021|6.8|http://akas.imdb.com/title/tt0198021/|30|0198021|PG-13|26768
Pay It Forward|$33,519,628|$9,631,359|2,130|2000|Drama|0223897|7.2|http://akas.imdb.com/title/tt0223897/|40|0223897|PG-13|95000
Dracula 2000|$33,022,767|$8,636,567|2,204|2000|Action,Fantasy,Horror,Thriller|0219653|4.9|http://akas.imdb.com/title/tt0219653/|26|0219653|R|27153
Return to Me|$32,722,798|$7,820,836|2,320|2000|Comedy,Drama,Romance|0122459|6.9|http://akas.imdb.com/title/tt0122459/|54|0122459|PG|16333
Proof of Life|$32,598,931|$10,207,869|2,705|2000|Action,Drama,Thriller|0228750|6.2|http://akas.imdb.com/title/tt0228750/|45|0228750|R|48949
Almost Famous|$32,534,850|$2,314,646|2,262|2000|Adventure,Comedy,Drama,Music|0181875|7.9|http://akas.imdb.com/title/tt0181875/|90|0181875|R|204846
The Legend of Bagger Vance|$30,919,168|$11,516,712|2,162|2000|Drama,Fantasy,Sport|0146984|6.7|http://akas.imdb.com/title/tt0146984/|47|0146984|PG-13|44819
Snatch|$30,328,156|$27,932|1,444|2000|Comedy,Crime|0208092|8.3|http://akas.imdb.com/title/tt0208092/|55|0208092|R|592497
The Art of War|$30,208,599|$10,410,993|2,630|2000|Action,Adventure,Crime,Thriller|0160009|5.7|http://akas.imdb.com/title/tt0160009/|30|0160009|R|25201
Bless the Child|$29,381,494|$9,413,684|2,524|2000|Crime,Drama,Horror,Thriller|0163983|5.1|http://akas.imdb.com/title/tt0163983/|17|0163983|R|12022
The Watcher|$28,946,615|$9,062,295|2,777|2000|Crime,Horror,Mystery,Thriller|0204626|5.3|http://akas.imdb.com/title/tt0204626/|22|0204626|R|22074
Love & Basketball|$27,459,615|$8,139,180|1,245|2000|Drama,Romance,Sport|0199725|7.2|http://akas.imdb.com/title/tt0199725/|70|0199725|PG-13|14086
High Fidelity|$27,287,137|$6,429,107|1,231|2000|Comedy,Drama,Music,Romance|0146882|7.6|http://akas.imdb.com/title/tt0146882/|79|0146882|R|141526
Book of Shadows: Blair Witch 2|$26,437,094|$13,223,887|3,320|2000|Adventure,Fantasy,Horror,Mystery,Thriller|0229260|4.0|http://akas.imdb.com/title/tt0229260/|15|0229260|R|28617
The Adventures of Rocky & Bullwinkle|$26,005,820|$6,814,270|2,482|2000|Animation,Adventure,Comedy,Family,Fantasy|0131704|4.1|http://akas.imdb.com/title/tt0131704/|36|0131704|PG|16520
Nurse Betty|$25,170,054|$7,145,950|1,491|2000|Comedy,Crime,Drama|0171580|6.3|http://akas.imdb.com/title/tt0171580/|69|0171580|R|29999
Reindeer Games|$23,368,995|$8,128,356|2,204|2000|Action,Crime,Drama,Romance,Thriller|0184858|5.7|http://akas.imdb.com/title/tt0184858/|37|0184858|R|30836
Titan A.E.|$22,753,426|$9,376,845|2,775|2000|Animation,Action,Adventure,Family,Sci-Fi|0120913|6.6|http://akas.imdb.com/title/tt0120913/|48|0120913|PG|51911
Billy Elliot|$21,995,263|$215,681|510|2000|Drama,Music|0249462|7.7|http://akas.imdb.com/title/tt0249462/|74|0249462|PG-13|97379
Boys and Girls|$21,799,652|$7,008,950|1,989|2000|Comedy,Drama,Romance|0204175|5.3|http://akas.imdb.com/title/tt0204175/|29|0204175|PG-13|13543
Battlefield Earth|$21,471,685|$11,548,898|3,307|2000|Action,Adventure,Sci-Fi|0185183|2.4|http://akas.imdb.com/title/tt0185183/|9|0185183|PG-13|64926
Urban Legends: Final Cut|$21,468,807|$8,505,513|2,539|2000|Horror,Mystery,Thriller|0192731|4.1|http://akas.imdb.com/title/tt0192731/|16|0192731|R|12948
Down to You|$20,069,008|$7,602,507|2,003|2000|Comedy,Drama,Romance|0186975|4.9|http://akas.imdb.com/title/tt0186975/|13|0186975|PG-13|12224
Wonder Boys|$19,393,557|$5,808,919|1,509|2000|Comedy,Drama|0185014|7.4|http://akas.imdb.com/title/tt0185014/|73|0185014|R|54363
Best in Show|$18,715,392|$413,436|497|2000|Comedy|0218839|7.5|http://akas.imdb.com/title/tt0218839/|78|0218839|PG-13|45383
Michael Jordan to the Max (IMAX)|$18,650,521|$578,141|56|2000|Documentary,Sport|0245280|7.5|http://akas.imdb.com/title/tt0245280/|57|0245280|NA|1712
The Contender|$17,872,723|$5,363,900|1,639|2000|Drama,Thriller|0208874|7.0|http://akas.imdb.com/title/tt0208874/|59|0208874|R|20356
Red Planet|$17,480,890|$8,721,296|2,703|2000|Action,Sci-Fi,Thriller|0199753|5.7|http://akas.imdb.com/title/tt0199753/|34|0199753|PG-13|47274
Small Time Crooks|$17,266,359|$3,880,723|886|2000|Comedy,Crime|0196216|6.7|http://akas.imdb.com/title/tt0196216/|69|0196216|PG|30889
Center Stage|$17,200,925|$4,604,621|1,506|2000|Drama,Music,Romance|0210616|6.7|http://akas.imdb.com/title/tt0210616/|52|0210616|PG-13|15655
Boiler Room|$16,970,581|$5,742,129|1,335|2000|Crime,Drama,Thriller|0181984|7.0|http://akas.imdb.com/title/tt0181984/|63|0181984|R|40847
Lost Souls|$16,815,253|$7,954,766|1,970|2000|Drama,Horror,Thriller|0160484|4.8|http://akas.imdb.com/title/tt0160484/|16|0160484|R|9282
Thomas and the Magic Railroad|$15,933,506|$4,154,932|2,110|2000|Adventure,Comedy,Drama,Family,Fantasy|0205461|3.6|http://akas.imdb.com/title/tt0205461/|19|0205461|NA|2818
Cirque du Soleil: Journey of Man (IMAX)|$15,627,434|$49,837|22|2000|Short,Drama,Family,Fantasy,Musical|0213749|7.1|http://akas.imdb.com/title/tt0213749/|55|0213749|NA|576
Loser|$15,618,626|$6,008,611|2,016|2000|Comedy,Romance|0217630|5.3|http://akas.imdb.com/title/tt0217630/|35|0217630|PG-13|22910
All the Pretty Horses|$15,540,353|$1,304,971|1,593|2000|Drama,Romance,Western|0149624|5.8|http://akas.imdb.com/title/tt0149624/|55|0149624|PG-13|11269
Drowning Mona|$15,506,764|$5,802,229|1,981|2000|Crime,Mystery,Comedy|0186045|5.6|http://akas.imdb.com/title/tt0186045/|25|0186045|PG-13|11708
Bait|$15,325,127|$5,485,591|2,352|2000|Action,Crime,Thriller|0211938|5.8|http://akas.imdb.com/title/tt0211938/|39|0211938|R|8927
Dungeons & Dragons|$15,220,685|$7,237,422|2,078|2000|Action,Adventure,Comedy,Fantasy|0190374|3.7|http://akas.imdb.com/title/tt0190374/|14|0190374|PG-13|27473
American Psycho|$15,070,285|$4,961,015|1,242|2000|Drama|0144084|7.6|http://akas.imdb.com/title/tt0144084/|64|0144084|R|352199
The Next Best Thing|$14,990,582|$5,870,387|2,035|2000|Comedy,Drama,Romance|0156841|4.7|http://akas.imdb.com/title/tt0156841/|25|0156841|PG-13|9275
Get Carter|$14,967,182|$6,637,830|2,315|2000|Action,Crime,Drama,Thriller|0208988|5.1|http://akas.imdb.com/title/tt0208988/|24|0208988|R|27027
Supernova|$14,230,455|$5,778,639|2,280|2000|Horror,Sci-Fi,Thriller|0134983|4.8|http://akas.imdb.com/title/tt0134983/|19|0134983|PG-13|14503
The Ladies Man|$13,616,610|$5,426,390|2,043|2000|Comedy|0213790|5.1|http://akas.imdb.com/title/tt0213790/|22|0213790|NA|10698
The Little Vampire|$13,572,400|$5,719,627|2,009|2000|Adventure,Comedy,Family,Fantasy|0192255|5.7|http://akas.imdb.com/title/tt0192255/|45|0192255|PG|7158
Solarmax|$13,400,161|$35,341|6|2000|Short,Documentary|0177240|6.8|http://akas.imdb.com/title/tt0177240/|NA|0177240|NA|213
Dr. T and the Women|$13,113,041|$5,012,867|1,489|2000|Comedy,Drama,Romance|0205271|4.6|http://akas.imdb.com/title/tt0205271/|64|0205271|R|15505
The Crew|$13,023,075|$4,051,921|1,515|2000|Crime,Comedy|0198386|5.6|http://akas.imdb.com/title/tt0198386/|37|0198386|PG-13|3855
Highlander: Endgame|$12,811,858|$5,067,331|1,546|2000|Action,Adventure,Fantasy,Sci-Fi|0144964|4.6|http://akas.imdb.com/title/tt0144964/|21|0144964|R|16185
Ready to Rumble|$12,394,327|$5,257,778|2,585|2000|Comedy,Sport|0217756|5.3|http://akas.imdb.com/title/tt0217756/|23|0217756|PG-13|11619
Saving Grace|$12,178,602|$287,452|875|2000|Comedy,Crime|0195234|6.9|http://akas.imdb.com/title/tt0195234/|62|0195234|R|15259
The Gift|$12,008,642|$11,827|807|2000|Drama,Fantasy,Horror,Mystery|0219699|6.7|http://akas.imdb.com/title/tt0219699/|62|0219699|R|51497
Here on Earth|$10,522,168|$4,510,705|1,713|2000|Drama,Romance|0195778|5.1|http://akas.imdb.com/title/tt0195778/|25|0195778|PG-13|7341
Lucky Numbers|$10,042,516|$4,536,625|2,528|2000|Comedy,Crime|0219952|5.0|http://akas.imdb.com/title/tt0219952/|31|0219952|R|8488
Godzilla 2000|$10,037,390|$4,407,720|2,111|2000|Action,Horror,Sci-Fi|0255198|6.3|http://akas.imdb.com/title/tt0255198/|NA|0255198|NA|1980
3 Strikes|$9,832,166|$3,684,704|678|2000|Comedy|0199290|4.0|http://akas.imdb.com/title/tt0199290/|11|0199290|NA|1406
Digimon: The Movie|$9,631,153|$4,233,304|1,825|2000|Animation,Action,Adventure,Family,Sci-Fi|0259974|5.9|http://akas.imdb.com/title/tt0259974/|20|0259974|PG|5091
You Can Count on Me|$9,183,362|$118,170|150|2000|Drama|0203230|7.7|http://akas.imdb.com/title/tt0203230/|85|0203230|R|21960
Whatever It Takes|$8,745,680|$4,104,298|2,272|2000|Comedy,Drama,Romance|0202402|5.5|http://akas.imdb.com/title/tt0202402/|20|0202402|PG-13|7984
Pollock|$8,598,593|$44,244|280|2000|Biography,Drama|0183659|7.0|http://akas.imdb.com/title/tt0183659/|77|0183659|R|22833
Shadow of the Vampire|$8,293,784|$150,171|513|2000|Drama,Horror|0189998|6.9|http://akas.imdb.com/title/tt0189998/|71|0189998|R|33986
Quills|$7,065,332|$249,383|223|2000|Biography,Drama|0180073|7.4|http://akas.imdb.com/title/tt0180073/|70|0180073|R|44479
Screwed|$7,027,345|$3,342,085|1,761|2000|Comedy,Crime|0156323|5.7|http://akas.imdb.com/title/tt0156323/|7|0156323|PG-13|6933
State and Main|$6,944,471|$580,163|462|2000|Comedy,Drama|0120202|6.8|http://akas.imdb.com/title/tt0120202/|75|0120202|R|18141
I Dreamed of Africa|$6,651,522|$2,411,445|2,112|2000|Adventure,Drama,Romance|0167203|5.6|http://akas.imdb.com/title/tt0167203/|33|0167203|PG-13|3703
What Planet Are You From?|$6,291,602|$3,008,746|2,248|2000|Comedy,Sci-Fi|0181151|5.6|http://akas.imdb.com/title/tt0181151/|41|0181151|R|8029
The Way of the Gun|$6,055,661|$2,150,979|1,565|2000|Action,Crime,Drama,Thriller|0202677|6.7|http://akas.imdb.com/title/tt0202677/|49|0202677|R|27355
Where the Money Is|$5,661,798|$2,513,530|1,538|2000|Drama,Comedy,Crime|0149367|6.3|http://akas.imdb.com/title/tt0149367/|49|0149367|PG-13|4495
The In Crowd|$5,280,035|$1,505,551|1,357|2000|Drama,Thriller,Mystery|0163676|4.6|http://akas.imdb.com/title/tt0163676/|14|0163676|PG-13|3651
Gossip|$5,108,820|$2,321,729|1,525|2000|Drama,Mystery,Thriller|0176783|5.9|http://akas.imdb.com/title/tt0176783/|31|0176783|R|12438
Woman on Top|$5,020,111|$2,008,191|1,086|2000|Comedy,Fantasy,Romance|0206420|5.3|http://akas.imdb.com/title/tt0206420/|41|0206420|R|8423
Duets|$4,739,023|$2,002,588|583|2000|Comedy,Drama,Music|0134630|6.0|http://akas.imdb.com/title/tt0134630/|40|0134630|R|8144
The Tao of Steve|$4,342,203|$91,791|189|2000|Comedy,Drama,Romance|0234853|6.8|http://akas.imdb.com/title/tt0234853/|70|0234853|R|6762
Before Night Falls|$4,242,892|$85,230|127|2000|Biography,Drama|0247196|7.3|http://akas.imdb.com/title/tt0247196/|85|0247196|R|20720
Dancer in the Dark|$4,184,036|$91,612|126|2000|Crime,Drama,Musical|0168629|8.0|http://akas.imdb.com/title/tt0168629/|61|0168629|R|78377
East is East|$4,177,818|$53,569|157|2000|Comedy|0198438|7.3|http://akas.imdb.com/title/tt0198438/|NA|0198438|NA|44
Whipped|$4,159,986|$2,181,379|1,581|2000|Comedy,Romance|0174336|4.4|http://akas.imdb.com/title/tt0174336/|10|0174336|R|3657
Requiem for a Dream|$3,635,482|$64,770|93|2000|Drama|0180093|8.4|http://akas.imdb.com/title/tt0180093/|68|0180093|R|564561
Malena|$3,448,233|$62,282|117|2000|Drama,Romance,War|0213847|7.5|http://akas.imdb.com/title/tt0213847/|54|0213847|R|64948
Price of Glory|$3,440,228|$1,611,833|807|2000|Drama,Sport|0188160|6.5|http://akas.imdb.com/title/tt0188160/|32|0188160|PG-13|712
Beautiful|$3,157,348|$1,409,433|646|2000|Drama,Comedy|0210567|5.4|http://akas.imdb.com/title/tt0210567/|23|0210567|PG-13|3254
The House of Mirth|$3,043,284|$48,770|63|2000|Romance,Drama|0200720|7.1|http://akas.imdb.com/title/tt0200720/|78|0200720|PG|6333
Isn't She Great|$2,962,465|$1,368,705|750|2000|Biography,Comedy,Romance|0141399|5.3|http://akas.imdb.com/title/tt0141399/|34|0141399|R|1958
Up at the Villa|$2,933,161|$339,819|112|2000|Drama,Romance|0153464|6.0|http://akas.imdb.com/title/tt0153464/|57|0153464|PG-13|2272
God's Army|$2,637,726|$115,642|50|2000|Drama|0238247|6.6|http://akas.imdb.com/title/tt0238247/|38|0238247|PG|869
East-West|$2,321,029|$56,147|70|2000|Short,Fantasy,Drama|0263300|6.9|http://akas.imdb.com/title/tt0263300/|NA|0263300|NA|11
Bamboozled|$2,274,979|$190,720|243|2000|Comedy,Drama,Music|0215545|6.5|http://akas.imdb.com/title/tt0215545/|50|0215545|R|8663
Bossa Nova|$1,823,297|$48,011|59|2000|Comedy,Romance,Drama|0180837|6.5|http://akas.imdb.com/title/tt0180837/|57|0180837|R|1552
The Broken Hearts Club|$1,746,585|$109,694|62|2000|Comedy,Drama,Romance,Sport|0222850|7.0|http://akas.imdb.com/title/tt0222850/|51|0222850|NA|6035
Gun Shy|$1,638,202|$703,109|296|2000|Comedy,Crime,Romance|0171356|5.7|http://akas.imdb.com/title/tt0171356/|42|0171356|R|5902
Hamlet (2000)|$1,577,287|$62,253|65|2000|Drama,Romance,Thriller|0171359|6.0|http://akas.imdb.com/title/tt0171359/|70|0171359|R|8004
Girlfight|$1,565,852|$197,896|253|2000|Drama,Sport|0210075|6.8|http://akas.imdb.com/title/tt0210075/|70|0210075|R|8138
Cecil B. Demented|$1,284,646|$127,141|82|2000|Comedy,Crime,Thriller|0173716|6.2|http://akas.imdb.com/title/tt0173716/|57|0173716|R|11323
MVP: Most Valuable Primate|$1,248,746|$99,518|205|2000|Comedy,Family,Sport|0196106|3.8|http://akas.imdb.com/title/tt0196106/|43|0196106|PG|1752
Turn It Up|$1,247,949|$576,820|661|2000|Crime,Drama,Action,Music|0216772|4.4|http://akas.imdb.com/title/tt0216772/|18|0216772|NA|941
I'm the One That I Want|$1,210,967|$33,671|8|2000|Documentary,Comedy|0251739|7.5|http://akas.imdb.com/title/tt0251739/|81|0251739|NA|1072
Backstage|$1,191,835|$496,226|322|2000|Documentary|0259207|5.6|http://akas.imdb.com/title/tt0259207/|29|0259207|R|265
Trois|$1,161,843|$200,815|53|2000|Romance,Thriller|0217107|3.9|http://akas.imdb.com/title/tt0217107/|NA|0217107|R|525
Yi Yi (A One and a Two)|$1,136,776|$20,117|15|2000|Drama,Romance|0244316|8.1|http://akas.imdb.com/title/tt0244316/|92|0244316|NA|12470
