amazon|amazon_link|hulu|hulu_link|imdbid|netflix|netflix_link
0||0||0314331|1|https://www.netflix.com/title/60031262
0||0||0348836|0|
0||0||0316356|0|
0||0||0285823|0|
0||0||0338337|0|
0||0||0292506|1|https://www.netflix.com/title/60026117
0||0||0316465|0|
0||0||0309698|0|
0||0||0320691|1|https://www.netflix.com/title/60031210
0||0||0313542|0|
0||0||0316396|0|
0||0||0313911|0|
0||0||0327850|0|
0||0||0309593|0|
0||0||0335266|0|
0||0||0328589|1|https://www.netflix.com/title/60031217
0||0||0327137|0|
0||0||0337711|0|
1||0||0325805|0|
0||0||0301470|0|
0||0||0138524|0|
0||0||0306685|0|
1||1||0340855|0|
0||0||0328099|0|
0||0||0285531|0|
0||0||0298814|0|
0||0||0337909|0|
0||0||0191133|0|
0||0||0338188|1|https://www.netflix.com/title/60031276
0||0||0264395|0|
0||0||0165982|0|
0||0||0298148|0|
1||0||0316654|0|
0||0||0335345|0|
0||0||0290002|0|
0||0||0304141|0|
0||0||0319262|0|
0||0||0372183|0|
0||0||0368891|0|
0||0||0338348|0|
0||0||0332452|0|
0||0||0349903|0|
0||0||0343660|0|
0||0||0361596|0|
0||0||0339291|0|
0||0||0364725|0|
1||0||0391198|0|
0||0||0338751|0|
0||0||0369339|0|
0||0||0405159|0|
0||0||0368933|0|
0||0||0335438|0|
0||0||0377092|1|https://www.netflix.com/title/60034551
0||0||0345950|0|
0||0||0357413|0|
0||0||0331632|1|https://www.netflix.com/title/60033341
0||0||0362227|0|
0||0||0375063|0|
0||0||0317648|0|
0||0||0378194|0|
0||0||0368008|0|
0||0||0337579|1|https://www.netflix.com/title/60033304
0||0||0349825|0|
0||0||0390022|0|
0||0||0167190|1|https://www.netflix.com/title/60034549
0||0||0327162|0|
0||0||0363547|0|
0||0||0289879|0|
0||0||0358135|0|
0||0||0296572|0|
0||0||0337563|1|https://www.netflix.com/title/60034573
1||0||0387564|0|
0||0||0359013|0|
1||0||0308644|0|
0||0||0299172|0|
0||0||0363988|0|
0||0||0385267|0|
0||0||0374900|0|
0||0||0371246|0|
0||0||0317198|0|
0||0||0327554|1|https://www.netflix.com/title/60036241
0||0||0335245|0|
0||0||0346156|0|
0||0||0338013|0|
0||0||0376541|0|
0||0||0330793|0|
0||0||0372588|0|
0||0||0366174|0|
0||0||0337921|0|
0||0||0333766|0|
0||0||0300051|0|
0||0||0327437|0|
1||0||0395169|0|
0||0||0327679|0|
0||0||0121766|0|
0||0||0363771|0|
0||0||0330373|0|
0||0||0407304|0|
0||0||0396269|0|
0||0||0372784|0|
0||0||0351283|0|
0||0||0356910|0|
0||0||0386588|0|
0||0||0398165|1|https://www.netflix.com/title/70021637
0||0||0358082|0|
0||0||0358273|0|
0||0||0395699|1|https://www.netflix.com/title/70020957
0||0||0369441|0|
0||0||0405422|0|
0||0||0408790|0|
0||0||0388795|0|
0||0||0428803|0|
0||0||0360486|0|
0||1||0373926|0|
0||0||0372237|0|
0||0||0318649|1|https://www.netflix.com/title/70000199
0||0||0393162|0|
0||0||0400497|0|
0||0||0405325|1|https://www.netflix.com/title/70028895
0||0||0374536|1|https://www.netflix.com/title/70021646
0||0||0418763|0|
0||0||0352248|1|https://www.netflix.com/title/70021639
0||0||0356680|0|
0||0||0421239|0|
0||0||0397535|0|
0||0||0312004|0|
0||0||0121164|0|
0||0||0384642|0|
0||0||0443536|1|https://www.netflix.com/title/70043239
0||0||0365737|0|
0||0||0376105|0|
0||0||0425123|0|
0||0||0408306|0|
0||0||0357507|0|
0||0||0417001|1|https://www.netflix.com/title/70028898
0||0||0332047|0|
0||0||0414387|0|
0||0||0355295|0|
0||0||0398017|0|
0||0||0267891|0|
0||0||0340163|0|
0||0||0401623|0|
0||0||0387131|0|
0||0||0388125|0|
0||0||0418647|0|
0||0||0317132|0|
0||0||0433400|0|
0||0||0382992|0|
0||0||0433383|0|
0||0||0399146|0|
0||0||0430308|0|
0||0||0406375|0|
0||0||0294870|0|
0||0||0379725|0|
0||0||0419706|0|
0||0||0368709|0|
0||0||0402022|0|
0||0||0379786|0|
0||0||0383574|0|
0||0||0477347|0|
0||0||0317219|0|
0||0||0376994|0|
0||0||0382625|0|
