awards|imdbid|oscars
2 nominations.|0141399|none
N/A|0153464|none
N/A|0238247|none
N/A|0263300|none
1 win & 9 nominations.|0215545|none
3 nominations.|0180837|none
1 win & 1 nomination.|0222850|none
N/A|0171356|none
1 win & 2 nominations.|0171359|none
15 wins & 16 nominations.|0210075|none
2 nominations.|0173716|none
1 win & 2 nominations.|0196106|none
1 nomination.|0216772|none
N/A|0251739|none
1 nomination.|0259207|none
1 win.|0217107|none
13 wins & 21 nominations.|0244316|none
2 nominations.|0212974|none
N/A|0193854|none
11 wins & 22 nominations.|0213890|none
2 nominations.|0220100|none
Nominated for 3 Oscars. Another 17 wins & 60 nominations.|0241527|nom
Won 4 Oscars. Another 108 wins & 121 nominations.|0120737|won
Won 1 Oscar. Another 37 wins & 59 nominations.|0126029|won
Won 1 Oscar. Another 13 wins & 38 nominations.|0198781|won
10 wins & 22 nominations.|0266915|none
4 wins & 17 nominations.|0209163|none
Won 1 Oscar. Another 10 wins & 50 nominations.|0213149|won
4 wins & 20 nominations.|0240772|none
5 wins & 13 nominations.|0163025|none
Nominated for 2 BAFTA Film Awards. Another 10 wins & 25 nominations.|0133152|none
Won 4 Oscars. Another 32 wins & 63 nominations.|0268978|won
7 wins & 15 nominations.|0212985|none
8 wins & 6 nominations.|0252866|none
9 wins & 12 nominations.|0232500|none
3 wins & 15 nominations.|0146316|none
2 wins & 6 nominations.|0240462|none
2 wins & 10 nominations.|0227538|none
Won 2 Oscars. Another 7 wins & 37 nominations.|0265086|won
2 wins & 11 nominations.|0247638|none
Nominated for 1 Oscar. Another 4 wins & 33 nominations.|0259711|nom
Nominated for 1 Golden Globe. Another 28 wins & 50 nominations.|0230600|none
Nominated for 2 Golden Globes. Another 6 wins & 10 nominations.|0250494|none
1 win & 1 nomination.|0265029|none
2 wins & 3 nominations.|0239395|none
6 wins & 7 nominations.|0206275|none
1 win & 16 nominations.|0230011|none
Nominated for 1 Oscar. Another 5 nominations.|0268397|nom
Nominated for 2 Oscars. Another 16 wins & 64 nominations.|0212720|nom
Won 1 Oscar. Another 14 wins & 22 nominations.|0139654|won
1 win & 1 nomination.|0164334|none
Nominated for 1 Oscar. Another 8 wins & 29 nominations.|0243155|nom
3 wins & 3 nominations.|0257106|none
1 win & 1 nomination.|0227445|none
3 nominations.|0256380|none
5 wins & 8 nominations.|0244244|none
3 wins & 1 nomination.|0236493|none
3 nominations.|0231775|none
3 nominations.|0266987|none
1 win & 6 nominations.|0209475|none
1 win & 2 nominations.|0159273|none
Nominated for 2 Oscars. Another 10 wins & 25 nominations.|0248667|nom
5 nominations.|0255798|none
Won 2 Oscars. Another 81 wins & 130 nominations.|0203009|won
3 nominations.|0250687|none
4 wins & 10 nominations.|0183790|none
1 nomination.|0260866|none
1 win & 9 nominations.|0221027|none
Nominated for 1 Oscar. Another 10 wins & 45 nominations.|0265666|nom
3 nominations.|0242445|none
3 nominations.|0215750|none
3 nominations.|0272152|none
3 nominations.|0240890|none
Nominated for 1 Oscar. Another 1 win & 4 nominations.|0035423|nom
1 win & 3 nominations.|0249478|none
1 win & 10 nominations.|0196229|none
4 nominations.|0267804|none
3 nominations.|0245674|none
Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.|0219965|none
Won 1 Oscar. Another 31 wins & 73 nominations.|0280707|won
4 nominations.|0125022|none
Nominated for 1 Oscar. Another 8 wins & 10 nominations.|0277027|nom
2 nominations.|0180734|none
1 nomination.|0251075|none
5 nominations.|0277371|none
3 wins & 6 nominations.|0263488|none
N/A|0271027|none
N/A|0265632|none
Nominated for 5 Oscars. Another 38 wins & 69 nominations.|0247425|nom
2 nominations.|0265087|none
1 nomination.|0250720|none
Nominated for 5 Oscars. Another 56 wins & 61 nominations.|0211915|nom
1 win & 10 nominations.|0132245|none
N/A|0161083|none
1 win & 9 nominations.|0173840|none
9 nominations.|0120681|none
Won 1 Oscar. Another 14 wins & 22 nominations.|0285742|won
N/A|0278488|none
2 wins & 2 nominations.|0200027|none
1 win & 3 nominations.|0261392|none
N/A|0238948|none
1 win & 14 nominations.|0255819|none
2 wins & 2 nominations.|0268995|none
1 win & 8 nominations.|0250274|none
N/A|0244970|none
1 win & 2 nominations.|0245686|none
N/A|0246544|none
2 nominations.|0231402|none
1 win & 5 nominations.|0238112|none
3 nominations.|0230838|none
1 nomination.|0179626|none
2 wins & 8 nominations.|0252501|none
2 wins & 5 nominations.|0225071|none
1 nomination.|0250310|none
N/A|0252503|none
6 nominations.|0246002|none
