awards|imdbid|oscars
Nominated for 1 Oscar. Another 1 win & 13 nominations.|0343818|nom
Nominated for 1 Oscar. Another 3 wins & 19 nominations.|0332452|nom
2 wins & 8 nominations.|0349903|none
6 wins & 9 nominations.|0343660|none
2 wins & 17 nominations.|0338526|none
29 wins & 15 nominations.|0361596|none
Won 1 Oscar. Another 9 wins & 25 nominations.|0339291|won
2 wins & 7 nominations.|0364725|none
Nominated for 1 Oscar. Another 4 wins & 21 nominations.|0368447|nom
2 wins & 10 nominations.|0391198|none
Won 5 Oscars. Another 74 wins & 115 nominations.|0338751|won
Nominated for 2 Oscars. Another 22 wins & 64 nominations.|0369339|nom
Won 4 Oscars. Another 60 wins & 80 nominations.|0405159|won
1 win & 2 nominations.|0368933|none
3 wins & 9 nominations.|0335438|none
1 win & 8 nominations.|0343135|none
7 wins & 23 nominations.|0377092|none
1 win & 10 nominations.|0345950|none
1 win & 11 nominations.|0357413|none
1 win & 2 nominations.|0331632|none
12 wins & 9 nominations.|0332280|none
2 wins & 4 nominations.|0370263|none
1 win & 7 nominations.|0328107|none
5 wins & 3 nominations.|0362227|none
1 nomination.|0356634|none
Won 2 Oscars. Another 52 wins & 51 nominations.|0350258|won
1 win & 6 nominations.|0349710|none
1 win & 2 nominations.|0388419|none
Won 1 Oscar. Another 120 wins & 82 nominations.|0375063|won
2 wins & 9 nominations.|0381707|none
1 win & 2 nominations.|0317648|none
7 nominations.|0356618|none
Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.|0378194|none
Nominated for 1 Golden Globe. Another 1 win & 11 nominations.|0368008|none
2 wins & 10 nominations.|0337579|none
1 win & 3 nominations.|0349825|none
2 wins & 5 nominations.|0390022|none
3 wins & 22 nominations.|0167190|none
3 wins.|0327162|none
1 win & 16 nominations.|0363547|none
N/A|0364751|none
1 win & 8 nominations.|0289879|none
7 nominations.|0358135|none
4 nominations.|0296572|none
11 nominations.|0337563|none
8 wins & 10 nominations.|0387564|none
1 nomination.|0359013|none
4 wins & 8 nominations.|0349683|none
Won 1 Oscar. Another 20 wins & 77 nominations.|0308644|won
6 wins & 8 nominations.|0356470|none
Nominated for 3 Oscars. Another 6 wins & 35 nominations.|0293508|nom
2 wins & 3 nominations.|0318627|none
5 nominations.|0299172|none
1 nomination.|0396592|none
3 nominations.|0363988|none
2 nominations.|0351977|none
2 wins & 7 nominations.|0385267|none
10 wins & 22 nominations.|0374900|none
Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.|0371246|none
4 nominations.|0204313|none
1 win & 5 nominations.|0365957|none
Nominated for 1 Golden Globe. Another 7 nominations.|0317198|none
8 wins & 6 nominations.|0327554|none
4 wins & 4 nominations.|0335245|none
7 wins & 17 nominations.|0346156|none
1 nomination.|0350028|none
2 wins & 6 nominations.|0316732|none
Won 1 Oscar. Another 66 wins & 103 nominations.|0338013|won
3 wins & 12 nominations.|0346491|none
Nominated for 2 Oscars. Another 19 wins & 45 nominations.|0376541|nom
1 win & 5 nominations.|0330793|none
1 win & 11 nominations.|0372588|none
4 nominations.|0364045|none
1 nomination.|0366174|none
2 nominations.|0337921|none
3 nominations.|0359517|none
1 win.|0361467|none
1 nomination.|0367479|none
1 nomination.|0337697|none
13 wins & 37 nominations.|0333766|none
1 win & 6 nominations.|0300051|none
1 win.|0315297|none
3 wins & 10 nominations.|0362270|none
2 nominations.|0327437|none
N/A|0358349|none
Nominated for 3 Oscars. Another 16 wins & 42 nominations.|0395169|nom
1 nomination.|0327679|none
1 nomination.|0318974|none
1 win & 5 nominations.|0339412|none
1 win.|0353774|none
4 nominations.|0329691|none
2 nominations.|0377062|none
1 nomination.|0361841|none
N/A|0403703|none
2 wins & 2 nominations.|0338512|none
3 nominations.|0366551|none
2 nominations.|0323033|none
2 nominations.|0356150|none
N/A|0332712|none
1 win & 6 nominations.|0387575|none
8 nominations.|0335559|none
1 nomination.|0360201|none
Won 1 Oscar. Another 35 wins & 43 nominations.|0318462|won
1 nomination.|0337917|none
1 nomination.|0327247|none
2 wins & 5 nominations.|0241025|none
N/A|0338325|none
2 wins & 4 nominations.|0265208|none
N/A|0361925|none
N/A|0335121|none
1 nomination.|0367085|none
N/A|0338096|none
4 nominations.|0363282|none
1 nomination.|0326856|none
13 wins & 20 nominations.|0365748|none
Nominated for 2 Golden Globes. Another 1 win & 11 nominations.|0352277|none
Won 1 Golden Globe. Another 5 wins & 7 nominations.|0375173|none
1 nomination.|0324554|none
3 wins & 10 nominations.|0356721|none
1 win & 5 nominations.|0349169|none
5 nominations.|0360139|none
2 nominations.|0380277|none
1 win & 4 nominations.|0252028|none
Nominated for 1 Oscar. Another 7 wins & 11 nominations.|0390521|nom
Nominated for 1 Oscar. Another 19 wins & 60 nominations.|0385004|nom
2 wins.|0399877|none
2 wins & 3 nominations.|0361696|none
1 nomination.|0314498|none
Nominated for 1 Oscar. Another 17 wins & 48 nominations.|0362269|nom
1 win & 3 nominations.|0368975|none
5 nominations.|0270846|none
5 nominations.|0360139|none
1 win & 6 nominations.|0332375|none
N/A|0324127|none
1 win.|0345074|none
Nominated for 1 Oscar. Another 8 wins & 18 nominations.|0340012|nom
N/A|0167456|none
6 wins & 7 nominations.|0399901|none
Nominated for 1 Oscar. Another 40 wins & 32 nominations.|0390221|nom
Nominated for 2 Oscars. Another 17 wins & 33 nominations.|0344510|nom
2 nominations.|0350194|none
N/A|0315824|none
Nominated for 1 Golden Globe. Another 4 nominations.|0363473|none
N/A|0312329|none
Nominated for 1 Oscar. Another 9 wins & 27 nominations.|0381681|nom
1 nomination.|0331952|none
1 nomination.|0354766|none
Nominated for 1 BAFTA Film Award. Another 15 wins & 38 nominations.|0275491|none
Nominated for 1 Golden Globe. Another 2 wins & 16 nominations.|0337876|none
N/A|0331953|none
N/A|0360009|none
3 wins & 2 nominations.|0377744|none
1 win & 4 nominations.|0389831|none
2 wins & 7 nominations.|0348593|none
1 win.|0315273|none
Nominated for 3 Oscars. Another 40 wins & 37 nominations.|0383694|nom
Nominated for 1 BAFTA Film Award. Another 2 wins & 6 nominations.|0379889|none
Won 1 Oscar. Another 20 wins & 5 nominations.|0388789|won
N/A|0410454|none
21 wins & 29 nominations.|0420332|none
N/A|0398872|none
1 nomination.|0375104|none
N/A|0286218|none
9 wins & 9 nominations.|0391024|none
1 win & 1 nomination.|0389326|none
6 nominations.|0385635|none
3 wins & 1 nomination.|0397696|none
3 nominations.|0363532|none
Won 1 Oscar. Another 65 wins & 34 nominations.|0369702|won
2 wins & 4 nominations.|0361309|none
4 wins & 10 nominations.|0400400|none
N/A|0380344|none
1 win & 6 nominations.|0313300|none
8 wins & 34 nominations.|0347473|none
2 wins & 10 nominations.|0386669|none
Nominated for 1 Oscar. Another 22 wins & 51 nominations.|0121766|nom
Won 1 Oscar. Another 14 wins & 44 nominations.|0363771|won
Nominated for 1 Oscar. Another 12 wins & 41 nominations.|0330373|nom
Nominated for 3 Oscars. Another 13 wins & 40 nominations.|0407304|nom
Won 3 Oscars. Another 42 wins & 92 nominations.|0360717|won
11 wins & 11 nominations.|0396269|none
Nominated for 1 Oscar. Another 15 wins & 46 nominations.|0367594|nom
Nominated for 1 Oscar. Another 15 wins & 66 nominations.|0372784|nom
4 wins & 29 nominations.|0351283|none
9 wins & 18 nominations.|0356910|none
4 wins & 24 nominations.|0386588|none
2 wins & 17 nominations.|0398165|none
3 wins & 12 nominations.|0120667|none
4 wins & 15 nominations.|0371606|none
2 wins & 19 nominations.|0358082|none
Won 1 Oscar. Another 44 wins & 43 nominations.|0358273|won
1 win & 10 nominations.|0395699|none
7 nominations.|0369441|none
10 wins & 18 nominations.|0405422|none
2 wins & 6 nominations.|0408790|none
3 wins & 7 nominations.|0432348|none
Won 3 Oscars. Another 129 wins & 121 nominations.|0388795|won
1 win & 10 nominations.|0369735|none
1 win & 8 nominations.|0368578|none
1 win & 5 nominations.|0452598|none
5 wins & 14 nominations.|0377818|none
Won 1 Oscar. Another 21 wins & 15 nominations.|0428803|won
2 wins & 11 nominations.|0377109|none
2 wins & 9 nominations.|0360486|none
4 wins & 8 nominations.|0404032|none
5 wins & 9 nominations.|0430105|none
31 wins & 47 nominations.|0401792|none
3 wins & 2 nominations.|0373926|none
16 nominations.|0372237|none
2 wins & 5 nominations.|0318649|none
3 wins & 15 nominations.|0393162|none
2 wins & 6 nominations.|0400497|none
2 wins & 4 nominations.|0384806|none
1 nomination.|0405325|none
1 win & 13 nominations.|0374536|none
6 wins & 12 nominations.|0418763|none
Nominated for 3 Oscars. Another 15 wins & 40 nominations.|0352248|nom
Nominated for 1 Golden Globe. Another 4 wins & 7 nominations.|0356680|none
2 wins & 9 nominations.|0421239|none
Won 3 Oscars. Another 26 wins & 42 nominations.|0397535|won
1 win & 2 nominations.|0375210|none
Won 1 Oscar. Another 36 wins & 28 nominations.|0312004|won
1 win & 13 nominations.|0377471|none
11 wins & 11 nominations.|0396269|none
2 wins & 4 nominations.|0443295|none
Nominated for 1 Oscar. Another 9 wins & 26 nominations.|0121164|nom
7 nominations.|0384642|none
1 nomination.|0443536|none
1 win & 5 nominations.|0382077|none
1 win & 9 nominations.|0371724|none
Won 1 Oscar. Another 13 wins & 28 nominations.|0365737|won
13 wins & 13 nominations.|0422093|none
3 nominations.|0376105|none
2 wins & 5 nominations.|0385307|none
1 win & 1 nomination.|0425123|none
5 nominations.|0397101|none
Nominated for 5 Oscars. Another 12 wins & 62 nominations.|0408306|nom
4 wins & 13 nominations.|0320661|none
N/A|0357507|none
2 wins & 3 nominations.|0386140|none
1 nomination.|0417001|none
N/A|0388482|none
N/A|0398375|none
9 nominations.|0332047|none
1 win & 10 nominations.|0424774|none
1 win & 14 nominations.|0403508|none
Nominated for 4 Oscars. Another 13 wins & 52 nominations.|0414387|nom
2 wins & 4 nominations.|0355295|none
15 nominations.|0388500|none
N/A|0398017|none
1 win & 6 nominations.|0399201|none
1 nomination.|0267891|none
4 nominations.|0340163|none
1 win.|0401623|none
Won 1 Oscar. Another 33 wins & 64 nominations.|0387131|won
Nominated for 1 Golden Globe. Another 1 win & 6 nominations.|0388125|none
1 win & 4 nominations.|0408524|none
1 win & 5 nominations.|0418647|none
2 nominations.|0317132|none
3 nominations.|0433400|none
2 nominations.|0382992|none
5 wins & 10 nominations.|0397065|none
N/A|0372532|none
Nominated for 6 Oscars. Another 38 wins & 119 nominations.|0433383|nom
Nominated for 2 Oscars. Another 35 wins & 72 nominations.|0399146|nom
6 wins & 3 nominations.|0430308|none
2 wins.|0432291|none
2 wins & 3 nominations.|0406375|none
1 win & 21 nominations.|0294870|none
Won 1 Oscar. Another 58 wins & 84 nominations.|0379725|won
3 nominations.|0419706|none
1 nomination.|0329774|none
1 win & 4 nominations.|0368709|none
4 nominations.|0402022|none
9 wins & 8 nominations.|0379786|none
5 nominations.|0382628|none
1 nomination.|0342258|none
2 nominations.|0357277|none
N/A|0396652|none
2 wins & 2 nominations.|0399295|none
Nominated for 1 Oscar. Another 11 wins & 28 nominations.|0416320|nom
2 nominations.|0417217|none
1 nomination.|0387514|none
3 wins & 10 nominations.|0367652|none
Won 1 Oscar. Another 25 wins & 44 nominations.|0410097|won
1 win & 3 nominations.|0391304|none
2 wins & 14 nominations.|0418819|none
1 win & 2 nominations.|0398712|none
N/A|0331933|none
2 nominations.|0361089|none
Nominated for 4 Golden Globes. Another 1 win & 13 nominations.|0395251|none
2 nominations.|0257516|none
1 win & 2 nominations.|0378109|none
5 wins & 12 nominations.|0365885|none
Nominated for 2 Oscars. Another 6 wins & 17 nominations.|0395972|nom
1 nomination.|0407121|none
2 wins & 6 nominations.|0403455|none
10 wins & 5 nominations.|0395584|none
7 wins & 12 nominations.|0362165|none
2 nominations.|0376108|none
N/A|0457528|none
2 wins & 3 nominations.|0380623|none
3 wins & 24 nominations.|0416315|none
N/A|0348333|none
4 nominations.|0451069|none
3 nominations.|0388980|none
N/A|0402901|none
4 wins & 11 nominations.|0412019|none
1 win & 3 nominations.|0373908|none
Nominated for 1 Oscar. Another 5 wins & 25 nominations.|0402399|nom
Nominated for 1 Golden Globe. Another 1 win & 5 nominations.|0365485|none
N/A|0384680|none
3 wins & 3 nominations.|0402894|none
1 win & 7 nominations.|0355702|none
Nominated for 2 Oscars. Another 6 wins & 31 nominations.|0413015|nom
1 win & 7 nominations.|0338427|none
1 nomination.|0426615|none
2 wins.|0421054|none
1 nomination.|0326905|none
N/A|0384286|none
2 nominations.|0400525|none
Nominated for 2 Oscars. Another 31 wins & 21 nominations.|0407265|nom
N/A|0417415|none
2 wins.|0350261|none
1 win & 1 nomination.|0399327|none
8 wins & 9 nominations.|0438205|none
Nominated for 1 Golden Globe. Another 4 wins & 5 nominations.|0377107|none
Nominated for 1 Oscar. Another 23 wins & 47 nominations.|0367089|nom
6 nominations.|0436078|none
1 win & 2 nominations.|0366627|none
N/A|0373416|none
N/A|1557561|none
5 wins & 4 nominations.|0369226|none
10 wins & 6 nominations.|0412080|none
5 wins & 8 nominations.|0419294|none
N/A|0484361|none
5 wins & 15 nominations.|0373469|none
Nominated for 1 Oscar. Another 3 wins & 10 nominations.|1016268|nom
1 nomination.|0388183|none
21 wins & 15 nominations.|0415978|none
26 wins & 32 nominations.|0387898|none
1 nomination.|0371257|none
1 win & 3 nominations.|0436724|none
21 wins & 14 nominations.|0427312|none
N/A|0403016|none
Nominated for 1 Oscar. Another 21 wins & 25 nominations.|0418773|nom
2 wins & 4 nominations.|0380599|none
N/A|0457530|none
4 nominations.|0318081|none
3 wins & 2 nominations.|0421229|none
7 wins & 4 nominations.|0404030|none
1 win.|0403537|none
2 nominations.|0384686|none
Nominated for 1 Oscar. Another 17 wins & 12 nominations.|0436613|nom
Nominated for 1 Oscar. Another 13 wins & 15 nominations.|0445620|nom
1 win & 7 nominations.|0456165|none
2 wins & 7 nominations.|0451850|none
Won 1 Oscar. Another 42 wins & 51 nominations.|0383574|won
2 wins & 8 nominations.|0477347|none
Nominated for 2 Oscars. Another 27 wins & 28 nominations.|0317219|nom
7 wins & 37 nominations.|0376994|none
Nominated for 1 Golden Globe. Another 5 wins & 21 nominations.|0382625|none
Nominated for 1 Oscar. Another 12 wins & 38 nominations.|0348150|nom
Won 1 Oscar. Another 18 wins & 24 nominations.|0366548|won
7 wins & 16 nominations.|0438097|none
Won 1 BAFTA Film Award. Another 25 wins & 39 nominations.|0381061|none
Nominated for 1 Oscar. Another 11 wins & 24 nominations.|0454921|nom
6 wins & 19 nominations.|0327084|none
8 wins & 9 nominations.|0415306|none
Nominated for 1 Oscar. Another 3 wins & 11 nominations.|0389860|nom
7 wins & 14 nominations.|0317919|none
Won 4 Oscars. Another 90 wins & 122 nominations.|0407887|won
Nominated for 1 Oscar. Another 20 wins & 29 nominations.|0443453|nom
Nominated for 2 Oscars. Another 16 wins & 48 nominations.|0458352|nom
2 wins & 5 nominations.|0452594|none
Won 2 Oscars. Another 66 wins & 87 nominations.|0443489|won
1 win & 3 nominations.|0362120|none
5 nominations.|0427229|none
6 wins & 11 nominations.|0454848|none
1 win & 9 nominations.|0400717|none
4 wins & 9 nominations.|0452681|none
9 wins & 11 nominations.|0413895|none
1 win & 8 nominations.|0383216|none
2 wins & 2 nominations.|0397313|none
5 nominations.|0489270|none
1 win & 11 nominations.|0457510|none
2 wins & 2 nominations.|0463034|none
1 win & 6 nominations.|0449010|none
Nominated for 1 Oscar. Another 4 wins & 23 nominations.|0385880|nom
1 nomination.|0493430|none
3 nominations.|0414853|none
1 win & 2 nominations.|0449089|none
3 wins & 8 nominations.|0469641|none
3 nominations.|0479143|none
1 win & 5 nominations.|0421729|none
1 win & 3 nominations.|0462590|none
Nominated for 1 BAFTA Film Award. Another 6 wins & 13 nominations.|0424095|none
1 win & 5 nominations.|0453467|none
1 win & 9 nominations.|0430357|none
7 nominations.|0455612|none
2 wins & 7 nominations.|0457939|none
4 nominations.|0463985|none
2 wins & 6 nominations.|0401855|none
2 wins & 5 nominations.|0393735|none
Nominated for 1 Oscar. Another 6 nominations.|0409182|nom
Nominated for 1 Oscar. Another 2 wins & 11 nominations.|0343737|nom
Won 2 Oscars. Another 68 wins & 104 nominations.|0449059|won
7 nominations.|0437863|none
5 wins & 15 nominations.|0430304|none
1 nomination.|0381971|none
2 nominations.|0445990|none
Nominated for 5 Oscars. Another 8 wins & 26 nominations.|0450259|nom
Won 1 Oscar. Another 90 wins & 92 nominations.|0436697|won
1 win & 4 nominations.|0406816|none
1 win & 6 nominations.|0466909|none
6 nominations.|0414982|none
Nominated for 2 Oscars. Another 5 wins & 32 nominations.|0482571|nom
2 wins & 2 nominations.|0410297|none
Nominated for 3 Oscars. Another 8 wins & 17 nominations.|0472043|nom
3 nominations.|0408345|none
4 wins & 1 nomination.|0466342|none
3 nominations.|0455857|none
8 nominations.|0384537|none
1 nomination.|0758794|none
2 wins & 3 nominations.|0385726|none
8 wins & 10 nominations.|0452637|none
2 wins & 7 nominations.|0454841|none
2 wins & 2 nominations.|0455967|none
Nominated for 1 Golden Globe. Another 3 wins & 14 nominations.|0420223|none
Nominated for 1 Oscar. Another 10 wins & 9 nominations.|0443543|nom
5 nominations.|0420294|none
3 nominations.|0433386|none
N/A|0421206|none
7 nominations.|0408985|none
Won 3 Oscars. Another 93 wins & 97 nominations.|0457430|won
3 wins & 3 nominations.|0762121|none
2 nominations.|0405469|none
1 nomination.|0483726|none
2 nominations.|0450232|none
4 nominations.|0384793|none
2 nominations.|0443632|none
Nominated for 3 Oscars. Another 41 wins & 71 nominations.|0206634|nom
1 win & 8 nominations.|0790604|none
1 win & 6 nominations.|0446046|none
Won 1 Oscar. Another 41 wins & 128 nominations.|0449467|won
3 wins & 7 nominations.|0417148|none
2 wins & 5 nominations.|0454945|none
Nominated for 2 Oscars. Another 15 wins & 24 nominations.|0418689|nom
Nominated for 2 Oscars. Another 27 wins & 46 nominations.|0475276|nom
2 nominations.|0424993|none
4 nominations.|0455499|none
1 win & 4 nominations.|0429589|none
2 wins & 2 nominations.|0479884|none
N/A|0430634|none
5 wins & 12 nominations.|0446059|none
3 wins & 3 nominations.|0424345|none
Won 2 Oscars. Another 30 wins & 10 nominations.|0497116|won
2 wins & 7 nominations.|0450345|none
N/A|0475944|none
N/A|0441796|none
Nominated for 1 Oscar. Another 4 wins & 12 nominations.|0387877|nom
1 win & 1 nomination.|0465624|none
5 wins & 4 nominations.|0425210|none
4 nominations.|0456020|none
7 nominations.|0466856|none
3 nominations.|0434215|none
5 wins & 20 nominations.|0420087|none
1 nomination.|0454919|none
1 win & 3 nominations.|0486551|none
12 wins & 14 nominations.|0437800|none
N/A|0419946|none
1 win & 5 nominations.|0429591|none
1 win & 1 nomination.|0370032|none
2 nominations.|0462519|none
Won 1 Oscar. Another 47 wins & 30 nominations.|0455590|won
Nominated for 4 Oscars. Another 14 wins & 65 nominations.|0465551|nom
7 nominations.|0397078|none
N/A|0417433|none
1 win & 3 nominations.|0488658|none
1 nomination.|0454082|none
Won 1 Oscar. Another 15 wins & 20 nominations.|0422720|won
3 nominations.|0462395|none
1 win & 2 nominations.|0344854|none
N/A|0437179|none
N/A|0375154|none
N/A|0430779|none
Nominated for 1 Golden Globe. Another 3 wins & 7 nominations.|0427969|none
Won 1 Oscar. Another 23 wins & 35 nominations.|0498380|won
2 wins.|0430431|none
2 wins & 2 nominations.|0436331|none
2 wins & 3 nominations.|0454824|none
1 win & 2 nominations.|0462346|none
Nominated for 1 Oscar. Another 60 wins & 80 nominations.|0441909|nom
7 wins & 22 nominations.|0479647|none
1 win & 5 nominations.|0417225|none
2 wins & 3 nominations.|0349467|none
4 wins & 8 nominations.|0383060|none
1 win & 4 nominations.|0434139|none
4 wins & 10 nominations.|0437777|none
1 win & 4 nominations.|0433412|none
Nominated for 2 Golden Globes. Another 7 wins & 15 nominations.|0308055|none
1 nomination.|0457513|none
N/A|0805526|none
Nominated for 1 Golden Globe. Another 8 wins & 31 nominations.|0414993|none
2 nominations.|0365830|none
1 win & 5 nominations.|0453494|none
Won 1 Golden Globe. Another 8 wins & 11 nominations.|0446755|none
2 nominations.|0448075|none
2 wins & 5 nominations.|0439815|none
N/A|0433442|none
1 win & 2 nominations.|0401445|none
2 wins & 1 nomination.|0763304|none
1 win & 3 nominations.|0405676|none
1 nomination.|0465142|none
N/A|0490196|none
1 win & 1 nomination.|0454970|none
Nominated for 1 Golden Globe. Another 3 wins & 6 nominations.|0439289|none
N/A|0473024|none
4 nominations.|0404390|none
Nominated for 1 Oscar. Another 12 wins & 29 nominations.|0473444|nom
1 nomination.|0456554|none
7 wins & 6 nominations.|0430912|none
3 wins & 14 nominations.|0470765|none
3 wins & 18 nominations.|0405296|none
Nominated for 3 Oscars. Another 18 wins & 54 nominations.|0404203|nom
7 wins & 6 nominations.|0354899|none
N/A|0454987|none
2 nominations.|0415949|none
1 nomination.|0480271|none
2 wins & 5 nominations.|0437232|none
3 nominations.|0425601|none
Nominated for 1 Oscar. Another 4 wins & 20 nominations.|0489327|nom
N/A|0364955|none
8 wins & 10 nominations.|0452637|none
4 wins & 22 nominations.|0449999|none
1 win & 7 nominations.|0492506|none
Nominated for 1 Golden Globe. Another 5 wins & 4 nominations.|0482546|none
N/A|1445145|none
Nominated for 2 BAFTA Film Awards. Another 2 wins & 12 nominations.|0464049|none
Nominated for 1 Oscar. Another 27 wins & 45 nominations.|0468489|nom
Nominated for 1 BAFTA Film Award. Another 3 wins & 31 nominations.|0413300|none
Nominated for 1 BAFTA Film Award. Another 5 wins & 14 nominations.|0413267|none
Nominated for 3 Oscars. Another 19 wins & 40 nominations.|0418279|nom
Nominated for 2 Oscars. Another 20 wins & 41 nominations.|0449088|nom
Nominated for 2 BAFTA Film Awards. Another 15 wins & 38 nominations.|0373889|none
9 wins & 21 nominations.|0480249|none
Won 3 Oscars. Another 25 wins & 38 nominations.|0440963|won
5 nominations.|0465234|none
2 wins & 2 nominations.|0952640|none
Won 1 Oscar. Another 64 wins & 42 nominations.|0382932|won
Nominated for 1 Golden Globe. Another 4 wins & 32 nominations.|0462538|none
4 nominations.|0486946|none
7 wins & 25 nominations.|0478311|none
Won 1 Oscar. Another 88 wins & 94 nominations.|0467406|won
9 nominations.|0293564|none
3 wins & 16 nominations.|0337978|none
2 wins & 14 nominations.|0486576|none
Nominated for 2 Oscars. Another 12 wins & 34 nominations.|0765429|nom
Nominated for 3 Oscars. Another 11 wins & 47 nominations.|0461770|nom
Nominated for 1 Golden Globe. Another 1 win & 14 nominations.|0389790|none
11 wins & 24 nominations.|0829482|none
14 nominations.|0762107|none
Nominated for 3 Golden Globes. Another 19 wins & 39 nominations.|0427327|none
3 wins & 10 nominations.|0445934|none
1 win & 5 nominations.|0496806|none
8 nominations.|0259324|none
2 wins & 11 nominations.|0413099|none
1 win & 10 nominations.|0396555|none
Nominated for 1 Oscar. Another 8 wins & 8 nominations.|0477051|nom
2 wins & 4 nominations.|0825232|none
3 nominations.|0492956|none
2 wins & 16 nominations.|0442933|none
6 wins & 5 nominations.|0398808|none
4 wins & 6 nominations.|0486822|none
Won 4 Oscars. Another 155 wins & 130 nominations.|0477348|won
N/A|0486583|none
4 wins & 8 nominations.|0450385|none
Won 1 Oscar. Another 4 wins & 32 nominations.|0385752|won
Nominated for 1 Oscar. Another 5 wins & 22 nominations.|0472062|nom
1 win & 6 nominations.|0890870|none
9 nominations.|0775539|none
Nominated for 1 Oscar. Another 2 wins & 18 nominations.|0423294|nom
1 win & 2 nominations.|0373883|none
1 win & 4 nominations.|0906108|none
2 nominations.|0453556|none
2 wins & 4 nominations.|0431308|none
Nominated for 2 Oscars. Another 3 wins & 30 nominations.|0381849|nom
Won 1 Oscar. Another 30 wins & 72 nominations.|0408236|won
Won 1 Oscar. Another 48 wins & 145 nominations.|0783233|won
2 wins & 1 nomination.|0432021|none
6 nominations.|0758766|none
3 nominations.|0422774|none
4 nominations.|0937375|none
Won 1 Oscar. Another 26 wins & 109 nominations.|0465538|won
2 nominations.|0477071|none
4 nominations.|0480242|none
5 nominations.|0431197|none
1 nomination.|0822854|none
1 nomination.|0762114|none
3 nominations.|0467110|none
1 nomination.|0481141|none
1 nomination.|0490084|none
4 nominations.|0758730|none
6 nominations.|0760329|none
Won 2 Oscars. Another 105 wins & 131 nominations.|0469494|won
2 wins & 3 nominations.|0799949|none
2 wins.|0465494|none
12 nominations.|0389722|none
1 win & 2 nominations.|0488120|none
5 wins & 6 nominations.|0486655|none
Nominated for 1 Golden Globe. Another 1 win & 6 nominations.|0476964|none
1 win.|0408839|none
2 wins & 1 nomination.|0463998|none
1 win & 1 nomination.|0425430|none
5 nominations.|0481369|none
1 win & 3 nominations.|0452625|none
2 nominations.|0453451|none
1 win & 2 nominations.|0401997|none
2 wins & 64 nominations.|0443706|none
N/A|0424823|none
3 nominations.|0457419|none
Nominated for 1 Oscar. Another 4 wins & 10 nominations.|0426931|nom
1 nomination.|0778661|none
Nominated for 1 Golden Globe. Another 11 wins & 9 nominations.|0427309|none
2 wins & 12 nominations.|0463854|none
5 nominations.|0498399|none
2 nominations.|0780571|none
2 nominations.|0367959|none
2 nominations.|0489237|none
N/A|0419984|none
7 nominations.|0479500|none
6 wins & 10 nominations.|0884328|none
1 nomination.|0444682|none
7 wins & 15 nominations.|0462322|none
Nominated for 1 Oscar. Another 14 wins & 14 nominations.|0386032|nom
Nominated for 1 Oscar. Another 2 wins & 16 nominations.|0445922|nom
1 win.|0457433|none
3 wins.|1027743|none
2 wins & 8 nominations.|0425112|none
N/A|0499556|none
6 nominations.|0768212|none
N/A|0800069|none
1 nomination.|0435670|none
1 nomination.|0499554|none
Nominated for 1 Oscar. Another 32 wins & 28 nominations.|0452623|nom
3 nominations.|0490204|none
1 nomination.|0452702|none
3 wins & 5 nominations.|0791304|none
6 wins & 15 nominations.|0473308|none
3 wins & 6 nominations.|0416508|none
Nominated for 2 Oscars. Another 23 wins & 99 nominations.|0758758|nom
Nominated for 2 Golden Globes. Another 1 win & 4 nominations.|0841046|none
1 win & 3 nominations.|0435705|none
5 nominations.|0498353|none
Nominated for 1 Oscar. Another 28 wins & 69 nominations.|0765443|nom
N/A|0455760|none
2 wins & 1 nomination.|0455960|none
Won 1 Oscar. Another 5 wins & 29 nominations.|0414055|won
Nominated for 1 Oscar. Another 6 wins & 22 nominations.|0419887|nom
N/A|0826765|none
1 nomination.|0427392|none
3 nominations.|0891527|none
1 win & 3 nominations.|0211933|none
1 win & 1 nomination.|0787475|none
2 nominations.|0476995|none
1 nomination.|0790804|none
1 win & 5 nominations.|0462244|none
3 nominations.|0465602|none
1 nomination.|0770772|none
2 nominations.|0765447|none
4 wins & 3 nominations.|0838221|none
N/A|0815244|none
N/A|0419843|none
1 nomination.|0372873|none
N/A|0772193|none
Won 2 Oscars. Another 43 wins & 61 nominations.|0450188|won
1 nomination.|0446013|none
5 nominations.|0804452|none
1 win & 2 nominations.|0804522|none
3 nominations.|0804461|none
Won 1 Oscar. Another 20 wins & 30 nominations.|0907657|won
Nominated for 1 Golden Globe. Another 4 wins & 17 nominations.|0829459|none
N/A|0484562|none
2 wins & 2 nominations.|0795368|none
2 nominations.|0462229|none
N/A|0800003|none
2 nominations.|0415965|none
8 wins & 4 nominations.|0897361|none
1 nomination.|0443473|none
32 wins & 40 nominations.|0464141|none
17 wins & 27 nominations.|0292963|none
2 wins & 3 nominations.|0475355|none
1 nomination.|0780595|none
Nominated for 1 Oscar. Another 2 wins & 17 nominations.|0478134|nom
Nominated for 2 Oscars. Another 17 wins & 31 nominations.|0775529|nom
Nominated for 4 Oscars. Another 66 wins & 91 nominations.|0401383|nom
Nominated for 1 Oscar. Another 7 wins & 32 nominations.|0805564|nom
2 nominations.|0462396|none
N/A|0756703|none
2 nominations.|0841032|none
1 nomination.|0338216|none
