Battlefield Earth|$21,471,685|$11,548,898|3,307|2000
Urban Legends: Final Cut|$21,468,807|$8,505,513|2,539|2000
Down to You|$20,069,008|$7,602,507|2,003|2000
Wonder Boys|$19,393,557|$5,808,919|1,509|2000
Best in Show|$18,715,392|$413,436|497|2000
The Ninth Gate|$18,661,336|$6,622,518|1,694|2000
Michael Jordan to the Max (IMAX)|$18,650,521|$578,141|56|2000
The Contender|$17,872,723|$5,363,900|1,639|2000
Red Planet|$17,480,890|$8,721,296|2,703|2000
Small Time Crooks|$17,266,359|$3,880,723|886|2000
Center Stage|$17,200,925|$4,604,621|1,506|2000
Boiler Room|$16,970,581|$5,742,129|1,335|2000
Lost Souls|$16,815,253|$7,954,766|1,970|2000
Eye of the Beholder|$16,500,786|$5,959,447|1,751|2000
Thomas and the Magic Railroad|$15,933,506|$4,154,932|2,110|2000
Cirque du Soleil: Journey of Man (IMAX)|$15,627,434|$49,837|22|2000
Loser|$15,618,626|$6,008,611|2,016|2000
All the Pretty Horses|$15,540,353|$1,304,971|1,593|2000
Drowning Mona|$15,506,764|$5,802,229|1,981|2000
Bait|$15,325,127|$5,485,591|2,352|2000
Dungeons & Dragons|$15,220,685|$7,237,422|2,078|2000
American Psycho|$15,070,285|$4,961,015|1,242|2000
The Next Best Thing|$14,990,582|$5,870,387|2,035|2000
Get Carter|$14,967,182|$6,637,830|2,315|2000
Supernova|$14,230,455|$5,778,639|2,280|2000
The Ladies Man|$13,616,610|$5,426,390|2,043|2000
The Little Vampire|$13,572,400|$5,719,627|2,009|2000
Solarmax|$13,400,161|$35,341|6|2000
Dr. T and the Women|$13,113,041|$5,012,867|1,489|2000
The Crew|$13,023,075|$4,051,921|1,515|2000
Highlander: Endgame|$12,811,858|$5,067,331|1,546|2000
Ready to Rumble|$12,394,327|$5,257,778|2,585|2000
Saving Grace|$12,178,602|$287,452|875|2000
The Gift|$12,008,642|$11,827|807|2000
The Legend of Drunken Master|$11,555,430|$3,845,278|1,345|2000
Cyberworld 3-D (IMAX)|$11,253,900|$278,199|38|2000
Here on Earth|$10,522,168|$4,510,705|1,713|2000
Lucky Numbers|$10,042,516|$4,536,625|2,528|2000
Godzilla 2000|$10,037,390|$4,407,720|2,111|2000
3 Strikes|$9,832,166|$3,684,704|678|2000
Digimon: The Movie|$9,631,153|$4,233,304|1,825|2000
You Can Count on Me|$9,183,362|$118,170|150|2000
Whatever It Takes|$8,745,680|$4,104,298|2,272|2000
Pollock|$8,598,593|$44,244|280|2000
Fantasia 2000 (35mm)|$8,394,966|N/A|N/A|2000
Shadow of the Vampire|$8,293,784|$150,171|513|2000
Quills|$7,065,332|$249,383|223|2000
Screwed|$7,027,345|$3,342,085|1,761|2000
State and Main|$6,944,471|$580,163|462|2000
I Dreamed of Africa|$6,651,522|$2,411,445|2,112|2000
What Planet Are You From?|$6,291,602|$3,008,746|2,248|2000
Croupier|$6,201,143|$63,472|141|2000
The Way of the Gun|$6,055,661|$2,150,979|1,565|2000
Where the Money Is|$5,661,798|$2,513,530|1,538|2000
The In Crowd|$5,280,035|$1,505,551|1,357|2000
Black and White|$5,277,299|$2,212,535|1,284|2000
Gossip|$5,108,820|$2,321,729|1,525|2000
Woman on Top|$5,020,111|$2,008,191|1,086|2000
The Virgin Suicides|$4,906,229|$235,122|275|2000
Duets|$4,739,023|$2,002,588|583|2000
Held Up|$4,705,631|$1,911,007|688|2000
The Tao of Steve|$4,342,203|$91,791|189|2000
Before Night Falls|$4,242,892|$85,230|127|2000
Dancer in the Dark|$4,184,036|$91,612|126|2000
East is East|$4,177,818|$53,569|157|2000
Whipped|$4,159,986|$2,181,379|1,581|2000
Requiem for a Dream|$3,635,482|$64,770|93|2000
Malena|$3,448,233|$62,282|117|2000
Price of Glory|$3,440,228|$1,611,833|807|2000
Ghost Dog: Way of the Samurai|$3,308,029|$166,344|109|2000
The Big Kahuna|$3,165,544|$80,957|309|2000
Beautiful|$3,157,348|$1,409,433|646|2000
The House of Mirth|$3,043,284|$48,770|63|2000
Isn't She Great|$2,962,465|$1,368,705|750|2000
Up at the Villa|$2,933,161|$339,819|112|2000
God's Army|$2,637,726|$115,642|50|2000
East-West|$2,321,029|$56,147|70|2000
Bamboozled|$2,274,979|$190,720|243|2000
But I'm a Cheerleader|$2,205,627|$60,410|115|2000
Butterfly|$2,092,682|$82,973|72|2000
Bossa Nova|$1,823,297|$48,011|59|2000
The Color of Paradise|$1,817,216|$77,328|33|2000
The Broken Hearts Club|$1,746,585|$109,694|62|2000
Life & Times of Hank Greenberg|$1,712,385|$21,675|31|2000
The Girl on the Bridge|$1,708,839|$66,567|48|2000
Blood Simple (re-issue)|$1,701,855|$42,971|68|2000
Gun Shy|$1,638,202|$703,109|296|2000
Hamlet (2000)|$1,577,287|$62,253|65|2000
Rear Window (Re-issue)|$1,574,607|$42,793|39|2000
Girlfight|$1,565,852|$197,896|253|2000
Catfish in Black Bean Sauce|$1,319,592|$29,827|20|2000
Jesus' Son|$1,302,067|$37,089|95|2000
Cecil B. Demented|$1,284,646|$127,141|82|2000
MVP: Most Valuable Primate|$1,248,746|$99,518|205|2000
Turn It Up|$1,247,949|$576,820|661|2000
I'm the One That I Want|$1,210,967|$33,671|8|2000
Backstage|$1,191,835|$496,226|322|2000
Trois|$1,161,843|$200,815|53|2000
Shower|$1,157,764|$40,125|46|2000
Yi Yi (A One and a Two)|$1,136,776|$20,117|15|2000
Groove|$1,115,313|$55,946|50|2000
The Cup|$1,079,108|$35,179|42|2000
Mohabbatein|$1,070,000|$570,000|53|2000
Left Luggage|$1,069,540|$20,011|7|2000
Time Code|$1,057,750|$93,148|130|2000
Harry Potter and the Sorcerer's Stone|$317,575,550|$90,294,621|3,672|2001
The Lord of the Rings: The Fellowship of the Ring|$313,364,114|$47,211,490|3,381|2001
Shrek|$267,665,011|$42,347,760|3,715|2001
Monsters, Inc.|$255,873,250|$62,577,067|3,649|2001
Rush Hour 2|$226,164,286|$67,408,222|3,118|2001
The Mummy Returns|$202,019,785|$68,139,035|3,553|2001
Pearl Harbor|$198,542,554|$59,078,912|3,255|2001
Ocean's Eleven|$183,417,150|$38,107,822|3,075|2001
Jurassic Park III|$181,171,875|$50,771,645|3,462|2001
Planet of the Apes (2001)|$180,011,740|$68,532,960|3,530|2001
A Beautiful Mind|$170,742,341|$367,151|2,250|2001
Hannibal|$165,092,268|$58,003,121|3,292|2001
American Pie 2|$145,103,595|$45,117,985|3,157|2001
The Fast and the Furious|$144,533,925|$40,089,015|2,899|2001
Lara Croft: Tomb Raider|$131,168,070|$47,735,743|3,349|2001
Dr. Dolittle 2|$112,952,899|$25,037,039|3,053|2001
Spy Kids|$112,719,001|$26,546,881|3,191|2001
Black Hawk Down|$108,638,745|$179,823|3,143|2001
The Princess Diaries|$108,248,956|$22,862,269|2,749|2001
Vanilla Sky|$100,618,344|$25,015,518|2,842|2001
The Others|$96,522,687|$14,089,952|2,843|2001
Legally Blonde|$96,520,674|$20,377,426|2,725|2001
America's Sweethearts|$93,607,673|$30,181,877|3,011|2001
Cats & Dogs|$93,385,515|$21,707,617|3,040|2001
Save the Last Dance|$91,057,006|$23,444,930|2,570|2001
Atlantis: The Lost Empire|$84,056,472|$329,011|3,071|2001
Jimmy Neutron: Boy Genius|$80,936,232|$13,832,786|3,151|2001
A.I. Artificial Intelligence|$78,616,689|$29,352,630|3,242|2001
Training Day|$76,631,907|$22,550,788|2,712|2001
Along Came a Spider|$74,078,174|$16,712,407|2,573|2001
